time,Queue_1_load,Queue_2_load,Queue_3_load,Queue_4_load,Queue_5_load,Queue_6_load
3.14290999999997,,,32.0,,,
3.14293999999997,,,33.0,,,
3.1436499999999667,,,33.0,,,
3.1436499999999667,,,32.0,,,
3.1437299999999695,,,33.0,,,
3.1437599999999697,,,34.0,,,
3.14378999999997,,,35.0,,,
3.14381999999997,,,36.0,,,
3.1444999999999665,,,36.0,,,
3.1444999999999665,,,35.0,,,
3.1445799999999693,,,36.0,,,
3.1446099999999695,,,37.0,,,
3.1446399999999697,,,38.0,,,
3.14466999999997,,,39.0,,,
3.1453499999999663,,,39.0,,,
3.1453499999999663,,,38.0,,,
3.146199999999966,,,38.0,,,
3.146199999999966,,,37.0,,,
3.147049999999966,,,37.0,,,
3.147049999999966,,,36.0,,,
3.1471299999999687,,,37.0,,,
3.147159999999969,,,38.0,,,
3.147189999999969,,,39.0,,,
3.1472199999999693,,,40.0,,,
3.1472499999999695,,,41.0,,,
3.1478999999999657,,,41.0,,,
3.1478999999999657,,,40.0,,,
3.1479799999999685,,,41.0,,,
3.1487499999999655,,,41.0,,,
3.1487499999999655,,,40.0,,,
3.1495999999999653,,,40.0,,,
3.1495999999999653,,,39.0,,,
3.149679999999968,,,40.0,,,
3.1497099999999683,,,41.0,,,
3.150449999999965,,,41.0,,,
3.150449999999965,,,40.0,,,
3.150529999999968,,,41.0,,,
3.151299999999965,,,41.0,,,
3.151299999999965,,,40.0,,,
3.1513799999999677,,,41.0,,,
3.1521499999999647,,,41.0,,,
3.1521499999999647,,,40.0,,,
3.1522299999999674,,,41.0,,,
3.1529999999999645,,,41.0,,,
3.1529999999999645,,,40.0,,,
3.1538499999999643,,,40.0,,,
3.1538499999999643,,,39.0,,,
3.154699999999964,,,39.0,,,
3.154699999999964,,,38.0,,,
3.154779999999967,,,39.0,,,
3.155549999999964,,,39.0,,,
3.155549999999964,,,38.0,,,
3.1556299999999666,,,39.0,,,
3.1563999999999637,,,39.0,,,
3.1563999999999637,,,38.0,,,
3.1564799999999664,,,39.0,,,
3.1572499999999635,,,39.0,,,
3.1572499999999635,,,38.0,,,
3.157329999999966,,,39.0,,,
3.1580999999999633,,,39.0,,,
3.1580999999999633,,,38.0,,,
3.158179999999966,,,39.0,,,
3.158949999999963,,,39.0,,,
3.158949999999963,,,38.0,,,
3.159029999999966,,,39.0,,,
3.159799999999963,,,39.0,,,
3.159799999999963,,,38.0,,,
3.1598799999999656,,,39.0,,,
3.1606499999999627,,,39.0,,,
3.1606499999999627,,,38.0,,,
3.1607299999999654,,,39.0,,,
3.1614999999999625,,,39.0,,,
3.1614999999999625,,,38.0,,,
3.1623499999999622,,,38.0,,,
3.1623499999999622,,,37.0,,,
3.163199999999962,,,37.0,,,
3.163199999999962,,,36.0,,,
3.163279999999965,,,37.0,,,
3.164049999999962,,,37.0,,,
3.164049999999962,,,36.0,,,
3.1648999999999616,,,36.0,,,
3.1648999999999616,,,35.0,,,
3.1657499999999614,,,35.0,,,
3.1657499999999614,,,34.0,,,
3.165829999999964,,,35.0,,,
3.166350000000005,,0.0,,,,
3.1665999999999612,,,35.0,,,
3.1665999999999612,,,34.0,,,
3.167449999999961,,,34.0,,,
3.167449999999961,,,33.0,,,
3.168299999999961,,,33.0,,,
3.168299999999961,,,32.0,,,
3.1683799999999636,,,33.0,,,
3.1691499999999606,,,33.0,,,
3.1691499999999606,,,32.0,,,
3.1699999999999604,,,32.0,,,
3.1699999999999604,,,31.0,,,
3.170079999999963,,,32.0,,,
